Gene_Pair_id	Gene1_id	Gene1_name	Gene1_chromosome	Gene1_strand	Gene1_chr_start	Gene1_chr_end	Gene2_id	Gene2_name	Gene2_chromosome	Gene2_strand	Gene2_chr_start	Gene2_chr_end
3063	GOODH_1120394	TRAFD1	chr12	+	111047764	111075795	GOODM_0050350	Trafd1	chr5	-	121821739	121835580
3064	GOODH_1130136	F7	chr13	+	112808106	112822995	GOODM_1080031	F7	chr8	+	13026046	13035809
3065	GOODH_1190099	ARHGEF18	chr19	+	7351866	7443370	GOODM_1080002	Arhgef18	chr8	+	3393008	3456600
3066	GOODH_1190236	CCDC124	chr19	+	17906905	17915783	GOODM_0080188	Ccdc124	chr8	-	73392126	73397389
3067	GOODH_1190357	PSMD8	chr19	+	43557030	43566304	GOODM_0070231	Psmd8	chr7	-	29959206	29965692
3068	GOODH_0170026	OR1D5	chr17	-	2912713	2913705	GOODM_1110353	Olfr412	chr11	+	74178173	74179111
3069	GOODH_1010967	OR2L13	chr1	+	246167116	246330846	GOODM_0160086	Olfr168	chr16	-	19530073	19531011
3070	GOODH_1100242	SCD	chr10	+	102096762	102114577	GOODM_1190258	Scd3	chr19	+	44277778	44318506
3071	GOODH_1080067	NEFM	chr8	+	24827179	24832511	GOODM_0140271	Nefm	chr14	-	68737602	68743061
3072	GOODH_1010355	NFIA	chr1	+	61320883	61694617	GOODM_1040204	Nfia	chr4	+	97444590	97779083
3073	GOODH_0010682	SH2D1B	chr1	-	160631680	160648552	GOODM_1010422	Sh2d1b2	chr1	+	172163002	172181718
3074	GOODH_1060320	ORC3L	chr6	+	88356562	88433885	GOODM_0040046	Orc3l	chr4	-	34516552	34562193
3075	GOODH_1070159	GTF2IRD2B	chr7	+	74146283	74203558	GOODM_1050427	Gtf2ird2	chr5	+	134659908	134694013
3076	GOODH_1080020	MSRA	chr8	+	9949236	10323803	GOODM_0140253	Msra	chr14	-	64741462	65074740
3077	GOODH_0010392	ZNF644	chr1	-	91153448	91260259	GOODM_0050260	Zfp644	chr5	-	107045760	107125849
3078	GOODH_0010489	CD160	chr1	-	144407155	144426922	GOODM_0030263	Cd160	chr3	-	96604078	96618416
3079	GOODH_1040193	CDS1	chr4	+	85723081	85789363	GOODM_1050264	Cds1	chr5	+	102194149	102252871
3080	GOODH_0040052	TAPT1	chr4	-	15771226	15837259	GOODM_0050122	Tapt1	chr5	-	44566401	44617845
3081	GOODH_0050113	ENC1	chr5	-	73958991	73972273	GOODM_1130289	Enc1	chr13	+	98011125	98022989
3082	GOODH_0010210	ZMYM6	chr1	-	35224355	35270156	GOODM_1040370	Zmym6	chr4	+	126754627	126801538
3083	GOODH_0120158	P11	chr12	-	46389795	46405617	GOODM_0150280	Pp11r	chr15	-	97541450	97551581
3084	GOODH_0160116	ARL6IP1	chr16	-	18710492	18720358	GOODM_0070704	Arl6ip1	chr7	-	125262414	125273077
3085	GOODH_0090133	C9orf40	chr9	-	76751319	76757622	GOODM_1190165	D030056L22Rik	chr19	+	18787726	18792918
3086	GOODH_0190472	ZC3H4	chr19	-	52259287	52308849	GOODM_1070096	Zc3h4	chr7	+	16986545	17023045
3087	GOODH_0190588	TFPT	chr19	-	59302142	59310848	GOODM_0070004	Tfpt	chr7	-	3571926	3581486
3088	GOODH_0200093	FKHL18	chr20	-	29895764	29897081	GOODM_0020682	Fkhl18	chr2	-	152757634	152758944
3089	GOODH_1110252	OR4D10	chr11	+	59001479	59002414	GOODM_0190143	Olfr1424	chr19	-	12133299	12134240
3090	GOODH_1020133	REL	chr2	+	60962256	61003682	GOODM_0110072	Rel	chr11	-	23641729	23670970
3091	GOODH_0110071	OR52E8	chr11	-	5834557	5835508	GOODM_0070615	Olfr675	chr7	-	112172539	112173480
3092	GOODH_0110096	OR10A3	chr11	-	7916700	7917643	GOODM_0070670	Olfr516	chr7	-	115988578	115989522
3093	GOODH_1040219	MTTP	chr4	+	100704263	100764177	GOODM_0030401	Mttp	chr3	-	137753850	137794288
3094	GOODH_1070213	ARPC1A	chr7	+	98761446	98801825	GOODM_1050520	Arpc1a	chr5	+	145844738	145869625
3095	GOODH_1010780	HMCN1	chr1	+	183970306	184426708	GOODM_0010339	Hmcn1	chr1	-	152409632	152840565
3096	GOODH_0010174	RPA2	chr1	-	28090637	28113823	GOODM_1040404	Rpa2	chr4	+	132324275	132334661
3097	GOODH_0010606	UBQLN4	chr1	-	154271717	154290140	GOODM_1030154	Ubqln4	chr3	+	88357638	88373647
3098	GOODH_10X0246	GPRASP1	chrX	+	101792950	101800666	GOODM_10X0306	Armcx5	chrX	+	132277231	132338007
3099	GOODH_0110441	GPR83	chr11	-	93750131	93774066	GOODM_1090028	Gpr83	chr9	+	14664698	14673943
3100	GOODH_0060358	CD164	chr6	-	109794416	109810340	GOODM_1100089	Cd164	chr10	+	41239306	41250848
3101	GOODH_0070381	GIMAP6	chr7	-	149953399	149960374	GOODM_0060118	Gimap6	chr6	-	48651582	48658243
3102	GOODH_0170227	RDM1	chr17	-	31269200	31281893	GOODM_1110588	Rdm1	chr11	+	101489263	101497395
3103	GOODH_0200040	SLC23A2	chr20	-	4781002	4938939	GOODM_0020618	Slc23a2	chr2	-	131878232	131970844
3104	GOODH_0160278	TERF2	chr16	-	67947036	67977374	GOODM_0080333	Terf2	chr8	-	109593302	109620445
3105	GOODH_1160239	CHD9	chr16	+	51646446	51918914	GOODM_1080300	Chd9	chr8	+	93352736	93578407
3106	GOODH_1210043	TTC3	chr21	+	37367441	37497276	GOODM_1160256	Ttc3	chr16	+	94592346	94690828
3107	GOODH_1220170	PARVB	chr22	+	42726506	42896434	GOODM_1150204	Parvb	chr15	+	84062473	84146039
3108	GOODH_1120098	SLCO1B3	chr12	+	20854905	20960923	GOODM_1060488	Slco1b2	chr6	+	141578039	141635156
3109	GOODH_0060148	GPSM3	chr6	-	32266522	32299822	GOODM_1170231	Gpsm3	chr17	+	34726890	34728697
3110	GOODH_1110214	OR5L2	chr11	+	55351271	55352206	GOODM_0020357	Olfr1156	chr2	-	87789347	87790422
3111	GOODH_1180057	TTR	chr18	+	27425838	27432794	GOODM_1180031	Ttr	chr18	+	20823914	20832820
3112	GOODH_0100258	CUEDC2	chr10	-	104172992	104182413	GOODM_0190283	Cuedc2	chr19	-	46405034	46413114
3113	GOODH_1110359	CCDC85B	chr11	+	65414451	65415681	GOODM_0190044	Ccdc85b	chr19	-	5453187	5457563
3114	GOODH_1020242	MRPL30	chr2	+	99164010	99180520	GOODM_1010059	Mrpl30	chr1	+	37947398	37955178
3115	GOODH_0080204	TP53INP1	chr8	-	96007377	96030767	GOODM_1040012	Trp53inp1	chr4	+	11083588	11101524
3116	GOODH_0080320	CYHR1	chr8	-	145660018	145661657	GOODM_0150150	Cyhr1	chr15	-	76476197	76490538
3117	GOODH_0100040	C10orf97	chr10	-	15860181	15942525	GOODM_0020024	2310047O13Rik	chr2	-	12268891	12341087
3118	GOODH_0120444	TRIAP1	chr12	-	119366148	119368598	GOODM_1050334	Triap1	chr5	+	115791256	115793561
3119	GOODH_0130028	CDX2	chr13	-	27434278	27441317	GOODM_0050524	Cdx2	chr5	-	148112476	148118825
3120	GOODH_0140154	C14orf83	chr14	-	67006737	67051774	GOODM_0120128	6330442E10Rik	chr12	-	80062787	80108264
3121	GOODH_0170401	PHOSPHO1	chr17	-	44655731	44663127	GOODM_1110499	Phospho1	chr11	+	95685814	95693137
3122	GOODH_0170441	FAM33A	chr17	-	54542090	54587582	GOODM_1110459	1110001A07Rik	chr11	+	86922763	86936476
3123	GOODH_0190316	TA-NFKBH	chr19	-	41070983	41083392	GOODM_1070252	AY078069	chr7	+	31208323	31213765
3124	GOODH_1170223	ZPBP2	chr17	+	35277981	35287670	GOODM_1110538	Zpbp2	chr11	+	98412466	98419970
3125	GOODH_0170460	GH2	chr17	-	59311304	59312955	GOODM_0110628	Gh	chr11	-	106161582	106163124
3126	GOODH_1200044	C20orf103	chr20	+	9443271	9459171	GOODM_1020578	6330527O06Rik	chr2	+	135883663	135895653
3127	GOODH_1160372	HSBP1	chr16	+	82399094	82404095	GOODM_1080425	Hsbp1	chr8	+	121868438	121872829
3128	GOODH_1060002	IRF4	chr6	+	336752	356443	GOODM_1130116	Irf4	chr13	+	30841127	30858796
3129	GOODH_0010336	CYP2J2	chr1	-	60131569	60165011	GOODM_0040229	Cyp2j13	chr4	-	95709351	95744231
3130	GOODH_0170338	AARSD1	chr17	-	38356071	38385546	GOODM_0110581	1700113I22Rik	chr11	-	101280128	101286647
3131	GOODH_0070032	C7orf28B	chr7	-	6805097	6832386	GOODM_0050500	AU022870	chr5	-	144748778	144775722
3132	GOODH_0030119	COL7A1	chr3	-	48576510	48607597	GOODM_1090491	Col7a1	chr9	+	108855790	108886920
3133	GOODH_1100252	TLX1	chr10	+	102880252	102887526	GOODM_1190270	Tlx1	chr19	+	45225205	45231433
3134	GOODH_0090014	ERMP1	chr9	-	5774572	5823081	GOODM_0190199	Ermp1	chr19	-	29684373	29722910
3135	GOODH_00X0071	MED14	chrX	-	40393739	40479748	GOODM_00X0042	Med14	chrX	-	12252497	12339099
3136	GOODH_0060175	LEMD2	chr6	-	33846969	33864874	GOODM_0170134	Lemd2	chr17	-	27326545	27341383
3137	GOODH_0190551	CLDND2	chr19	-	56562164	56564069	GOODM_1070293	Cldnd2	chr7	+	50696186	50698690
3138	GOODH_0150056	PLA2G4D	chr15	-	40147174	40174044	GOODM_0020542	Pla2g4d	chr2	-	120091605	120114805
3139	GOODH_0080318	VPS28	chr8	-	145619808	145624735	GOODM_0150148	Vps28	chr15	-	76452518	76456457
3140	GOODH_0170440	TRIM37	chr17	-	54414793	54539011	GOODM_1110460	Trim37	chr11	+	86940579	87034184
3141	GOODH_0170553	TBC1D16	chr17	-	75528416	75624242	GOODM_0110721	Tbc1d16	chr11	-	119008451	119089813
3142	GOODH_0190547	KLK13	chr19	-	56251276	56260179	GOODM_1070300	Klk13	chr7	+	50967937	50982128
3143	GOODH_1170107	TTC19	chr17	+	15843507	15872821	GOODM_1110237	Ttc19	chr11	+	62094975	62129926
3144	GOODH_1090168	OR13C8	chr9	+	106371270	106372231	GOODM_0040133	Olfr272	chr4	-	52923705	52924664
3145	GOODH_1030251	COL8A1	chr3	+	100840144	100997848	GOODM_0160207	Col8a1	chr16	-	57624369	57754850
3146	GOODH_1190232	FCHO1	chr19	+	17723336	17760355	GOODM_0080200	Fcho1	chr8	-	74232547	74249546
3147	GOODH_1150060	GANC	chr15	+	40353658	40491807	GOODM_1020491	Ganc	chr2	+	120229632	120286588
3148	GOODH_1110215	OR5D16	chr11	+	55362804	55363788	GOODM_0020356	Olfr1155	chr2	-	87782839	87783783
3149	GOODH_1010878	SPATA17	chr1	+	215871318	216107107	GOODM_0010487	Spata17	chr1	-	188872285	189039344
3150	GOODH_1020017	KLF11	chr2	+	10101133	10112414	GOODM_1120041	Klf11	chr12	+	25336139	25347540
3151	GOODH_0010608	PAQR6	chr1	-	154479831	154484467	GOODM_1030152	Paqr6	chr3	+	88168511	88172463
3152	GOODH_0010818	C1orf74	chr1	-	208022285	208024513	GOODM_1010527	A130010J15Rik	chr1	+	194999836	195002496
3153	GOODH_1110122	GTF2H1	chr11	+	18300719	18345152	GOODM_1070371	Gtf2h1	chr7	+	54051473	54079167
3154	GOODH_0100111	ASAH2	chr10	-	51617079	51678319	GOODM_0190205	Asah2	chr19	-	32059141	32177630
3155	GOODH_0050033	CDH12	chr5	-	21786911	22889488	GOODM_1150034	Cdh12	chr15	+	21041207	21519288
3156	GOODH_0070209	BET1	chr7	-	93458936	93471626	GOODM_0060004	Bet1	chr6	-	4026904	4036927
3157	GOODH_0080236	NUDCD1	chr8	-	110322325	110415491	GOODM_0150058	Nudcd1	chr15	-	44206773	44259853
3158	GOODH_00X0163	ERCC6L	chrX	-	71341232	71375583	GOODM_00X0233	Ercc6l	chrX	-	99338296	99352366
3159	GOODH_00X0199	BTK	chrX	-	100491098	100527838	GOODM_00X0277	Btk	chrX	-	131076880	131117679
3160	GOODH_1010077	AADACL3	chr1	+	12698705	12711313	GOODM_0040518	Aadacl3	chr4	-	144043674	144053659
3161	GOODH_0120353	NDUFA12	chr12	-	93889242	93921642	GOODM_1100307	Ndufa12	chr10	+	93661754	93683693
3162	GOODH_0120453	FBXL10	chr12	-	120351282	120503272	GOODM_0050367	Fbxl10	chr5	-	123320685	123439101
3163	GOODH_0170477	CCDC46	chr17	-	61062121	61618435	GOODM_1110635	Ccdc46	chr11	+	108286580	108721929
3164	GOODH_0190209	DNAJB1	chr19	-	14486582	14490201	GOODM_1080257	Dnajb1	chr8	+	86132092	86135802
3165	GOODH_0190224	WIZ	chr19	-	15393318	15421762	GOODM_0170172	Wiz	chr17	-	32491006	32526361
3166	GOODH_1090275	FUBP3	chr9	+	132444781	132503563	GOODM_1020140	Fubp3	chr2	+	31428337	31473039
3167	GOODH_1150006	CYFIP1	chr15	+	20444125	20555043	GOODM_1070388	Cyfip1	chr7	+	63097442	63186265
3168	GOODH_1170207	TADA2L	chr17	+	32841425	32911337	GOODM_0110406	Tada2l	chr11	-	83892422	83943070
3169	GOODH_1080198	INTS8	chr8	+	95904710	95961896	GOODM_0040017	Ints8	chr4	-	11126305	11181376
3170	GOODH_1020295	CBWD2	chr2	+	113911853	113970216	GOODM_0190190	Cbwd1	chr19	-	24994919	25036048
3171	GOODH_1180101	PMAIP1	chr18	+	55718172	55722518	GOODM_1180186	Pmaip1	chr18	+	66618258	66625212
3172	GOODH_1140039	LRP10	chr14	+	22410800	22417129	GOODM_1140159	Lrp10	chr14	+	55082984	55089128
3173	GOODH_1050405	TRIM41	chr5	+	180582912	180595414	GOODM_0110123	Trim41	chr11	-	48619906	48630893
3174	GOODH_0110245	GLYAT	chr11	-	58232807	58256023	GOODM_1190128	EG240549	chr19	+	12674578	12702104
3175	GOODH_00X0283	USP26	chrX	-	131987175	131989966	GOODM_00X0122	Usp26	chrX	-	49107136	49150930
3176	GOODH_1100110	ADO	chr10	+	64234522	64238244	GOODM_0100142	Ado	chr10	-	67007879	67011690
3177	GOODH_1120025	KCNA5	chr12	+	5023346	5026209	GOODM_0060389	Kcna5	chr6	-	126482569	126485573
3178	GOODH_1050218	UQCRQ	chr5	+	132230218	132232435	GOODM_0110157	Uqcrq	chr11	-	53242450	53244333
3179	GOODH_0070330	AKR1B1	chr7	-	133777647	133794428	GOODM_0060060	Akr1b3	chr6	-	34253930	34267489
3180	GOODH_0020240	ANKRD39	chr2	-	96877451	96887483	GOODM_0010060	Ankrd39	chr1	-	36595018	36604046
3181	GOODH_10X0152	GPR173	chrX	+	53095231	53123967	GOODM_00X0330	Gpr173	chrX	-	148779189	148802654
3182	GOODH_0080181	SLC10A5	chr8	-	82768448	82769762	GOODM_0030013	Slc10a5	chr3	-	10331734	10335656
3183	GOODH_0090034	PTPLAD2	chr9	-	20996365	21021635	GOODM_0040206	Ptplad2	chr4	-	88058834	88084823
3184	GOODH_0040246	PRSS12	chr4	-	119421865	119493370	GOODM_1030356	Prss12	chr3	+	123149831	123209514
3185	GOODH_0190186	C19orf43	chr19	-	12702455	12706529	GOODM_1080281	2310036O22Rik	chr8	+	87550732	87554185
3186	GOODH_0120310	MDM1	chr12	-	66974613	67012379	GOODM_1100347	Mdm1	chr10	+	117578888	117606053
3187	GOODH_0170072	TEKT1	chr17	-	6644025	6675784	GOODM_0110315	Tekt1	chr11	-	72158222	72175382
3188	GOODH_1160400	CDH15	chr16	+	87765664	87789400	GOODM_1080453	Cdh15	chr8	+	125372274	125391297
3189	GOODH_1170169	NF1	chr17	+	26446121	26728820	GOODM_1110410	Nf1	chr11	+	79153394	79395111
3190	GOODH_1120071	GABARAPL1	chr12	+	10256756	10266989	GOODM_1060449	Gabarapl1	chr6	+	129483210	129492349
3191	GOODH_1140146	MTHFD1	chr14	+	63924846	63996474	GOODM_1120132	Mthfd1	chr12	+	77356395	77420790
3192	GOODH_1150176	LMAN1L	chr15	+	72892247	72905151	GOODM_0090247	Lman1l	chr9	-	57454840	57468581
3193	GOODH_0110094	OR5P3	chr11	-	7803161	7804095	GOODM_0070665	Olfr493	chr7	-	115489549	115490493
3194	GOODH_1070300	SPAM1	chr7	+	123352565	123398695	GOODM_1060039	Spam1	chr6	+	24741199	24751048
3195	GOODH_1200169	KCNK15	chr20	+	42807902	42813080	GOODM_1020721	Kcnk15	chr2	+	163679486	163684610
3196	GOODH_1020108	C2orf34	chr2	+	44442607	44853233	GOODM_1170450	1700106N22Rik	chr17	+	85490040	85857920
3197	GOODH_1030030	TATDN2	chr3	+	10265596	10297900	GOODM_1060349	Tatdn2	chr6	+	113647493	113661062
3198	GOODH_1030269	DZIP3	chr3	+	109791274	109896382	GOODM_0160191	Dzip3	chr16	-	48924341	48994225
3199	GOODH_1070410	ABCB8	chr7	+	150356443	150375802	GOODM_1050045	Abcb8	chr5	+	23899974	23915765
3200	GOODH_1010279	ERMAP	chr1	+	43055363	43083247	GOODM_0040325	Ermap	chr4	-	118848195	118862579
3201	GOODH_1020009	RSAD2	chr2	+	6935247	6955814	GOODM_0120032	Rsad2	chr12	-	27127618	27141296
3202	GOODH_1100189	STAMBPL1	chr10	+	90630006	90673222	GOODM_1190206	Stambpl1	chr19	+	34266760	34314818
3203	GOODH_1110082	OR10A5	chr11	+	6823490	6824443	GOODM_1070590	Olfr713	chr7	+	114179650	114180624
3204	GOODH_1040180	MRPL1	chr4	+	79002829	79092968	GOODM_1050251	Mrpl1	chr5	+	96639134	96695728
3205	GOODH_0010333	TACSTD2	chr1	-	58813683	58815754	GOODM_0060181	Tacstd2	chr6	-	67484053	67485816
3206	GOODH_0030287	GPR156	chr3	-	121368570	121445635	GOODM_1160164	Gpr156	chr16	+	37916582	38007615
3207	GOODH_10X0086	GPR34	chrX	+	41433170	41441474	GOODM_10X0051	Gpr34	chrX	+	13209895	13217984
3208	GOODH_0110458	MMP1	chr11	-	102165861	102174104	GOODM_1090014	Mmp1a	chr9	+	7464141	7476869
3209	GOODH_0030458	LOC285382	chr3	-	186278534	186353496	GOODM_0160101	2510009E07Rik	chr16	-	21649118	21694687
3210	GOODH_0050344	DDX41	chr5	-	176871185	176876573	GOODM_0130195	Ddx41	chr13	-	55631779	55637873
3211	GOODH_0190533	SYT3	chr19	-	55817048	55833114	GOODM_1070325	Syt3	chr7	+	51639496	51655400
3212	GOODH_0120048	CLEC4E	chr12	-	8577168	8584825	GOODM_0060355	Clec4e	chr6	-	123231807	123239889
3213	GOODH_0140112	NID2	chr14	-	51541270	51605696	GOODM_1140025	Nid2	chr14	+	20570479	20631009
3214	GOODH_0170359	CCDC43	chr17	-	40110331	40122691	GOODM_0110601	Ccdc43	chr11	-	102546002	102559039
3215	GOODH_0190043	SLC39A3	chr19	-	2683525	2691074	GOODM_0100229	Slc39a3	chr10	-	80491285	80496657
3216	GOODH_0190074	ARRDC5	chr19	-	4841449	4853879	GOODM_0170365	Arrdc5	chr17	-	56433534	56439709
3217	GOODH_1130121	ERCC5	chr13	+	102296175	102326346	GOODM_1010084	Ercc5	chr1	+	44204692	44238105
3218	GOODH_1150017	KLF13	chr15	+	29406375	29457393	GOODM_0070413	Klf13	chr7	-	71036253	71083743
3219	GOODH_1090174	FKTN	chr9	+	107360232	107443219	GOODM_1040134	Fktn	chr4	+	53727054	53776143
3220	GOODH_1030326	ABTB1	chr3	+	128874471	128882452	GOODM_0060258	Abtb1	chr6	-	88785911	88791861
3221	GOODH_1170347	AKAP1	chr17	+	52517552	52553708	GOODM_0110437	Akap1	chr11	-	88692106	88725900
3222	GOODH_1190325	UPK1A	chr19	+	40849555	40861205	GOODM_0070257	Upk1a	chr7	-	31388111	31397493
3223	GOODH_1100047	MLLT10	chr10	+	21863108	22072561	GOODM_1020032	Mllt10	chr2	+	17976898	18134017
3224	GOODH_1070272	BCAP29	chr7	+	107007946	107058401	GOODM_0120044	Bcap29	chr12	-	32280219	32319462
3225	GOODH_1020078	LOC165186	chr2	+	29057668	29128600	GOODM_1170419	4632412N22Rik	chr17	+	72022601	72079009
3226	GOODH_0110089	OR2D2	chr11	-	6869382	6870307	GOODM_0070650	Olfr715	chr7	-	114271958	114272905
3227	GOODH_0060493	PDCD2	chr6	-	170728376	170735673	GOODM_0170034	Pdcd2	chr17	-	15658539	15664265
3228	GOODH_0020312	LYPD1	chr2	-	133118807	133145540	GOODM_0010270	Lypd1	chr1	-	127768619	127808791
3229	GOODH_0150013	KIAA0574	chr15	-	27199747	27650219	GOODM_0070415	5730507A09Rik	chr7	-	71900982	72301414
3230	GOODH_0080222	ZNF706	chr8	-	102278444	102287136	GOODM_0150044	Zfp706	chr15	-	36926782	36937157
3231	GOODH_0100181	ANXA11	chr10	-	81904860	81955308	GOODM_1140042	Anxa11	chr14	+	26661641	26706290
3232	GOODH_0220198	SBF1	chr22	-	49232102	49260320	GOODM_0150252	Sbf1	chr15	-	89118667	89145742
3233	GOODH_0130078	P2RY5	chr13	-	47883185	47887947	GOODM_1140257	P2ry5	chr14	+	73637702	73640149
3234	GOODH_0130083	KPNA3	chr13	-	49171463	49265058	GOODM_0140238	Kpna3	chr14	-	61986468	62058628
3235	GOODH_1220174	NUP50	chr22	+	43938390	43962552	GOODM_1150208	Nup50	chr15	+	84753858	84773393
3236	GOODH_1160103	PMM2	chr16	+	8799193	8850684	GOODM_1160019	Pmm2	chr16	+	8637800	8657617
3237	GOODH_1180015	PTPRM	chr18	+	7557314	8396859	GOODM_0170403	Ptprm	chr17	-	67016883	67703727
3238	GOODH_1200202	CEBPB	chr20	+	48240783	48242619	GOODM_1020759	Cebpb	chr2	+	167514415	167515918
3239	GOODH_1220162	C22orf32	chr22	+	40805645	40810233	GOODM_1150195	1500032L24Rik	chr15	+	82176476	82179492
3240	GOODH_1010934	GGPS1	chr1	+	233558376	233574465	GOODM_0130023	Ggps1	chr13	-	14144714	14155668
3241	GOODH_1020425	ZC3H15	chr2	+	187059130	187082330	GOODM_1020289	Zc3h15	chr2	+	83484735	83504773
3242	GOODH_0030091	SLC6A20	chr3	-	45771952	45812966	GOODM_0090503	Slc6a20b	chr9	-	123503945	123541594
3243	GOODH_1060415	HECA	chr6	+	139497942	139543638	GOODM_0100028	Heca	chr10	-	17620272	17667873
3244	GOODH_1010266	ZNF642	chr1	+	40715889	40734601	GOODM_0040340	Zfp69	chr4	-	120602742	120622023
3245	GOODH_1010882	IARS2	chr1	+	218334078	218387999	GOODM_0010483	Iars2	chr1	-	187110541	187153280
3246	GOODH_0030242	CPOX	chr3	-	99780982	99795131	GOODM_1160205	Cpox	chr16	+	58670321	58680502
3247	GOODH_0030257	RETNLB	chr3	-	109957176	109958820	GOODM_1160191	Retnlb	chr16	+	48816969	48819005
3248	GOODH_1050027	BASP1	chr5	+	17270750	17329935	GOODM_0150023	Basp1	chr15	-	25293984	25294664
3249	GOODH_0010425	TAF13	chr1	-	109408521	109420147	GOODM_1030328	Taf13	chr3	+	108374617	108384986
3250	GOODH_0010612	CCT3	chr1	-	154545376	154574819	GOODM_1030149	Cct3	chr3	+	88101057	88125688
3251	GOODH_0030089	CDCP1	chr3	-	45098774	45162918	GOODM_0090501	Cdcp1	chr9	-	123081403	123125156
3252	GOODH_0050190	FNIP1	chr5	-	131005306	131160655	GOODM_1110171	Fnip1	chr11	+	54251691	54331738
3253	GOODH_0060303	PHIP	chr6	-	79707008	79844708	GOODM_0090338	Phip	chr9	-	82759766	82869096
3254	GOODH_0070122	TMED4	chr7	-	44585288	44588352	GOODM_0110037	Tmed4	chr11	-	6170717	6174840
3255	GOODH_0140087	SEC23A	chr14	-	38570874	38642188	GOODM_0120084	Sec23a	chr12	-	60059371	60113004
3256	GOODH_0160188	STX1B	chr16	-	30910869	30929330	GOODM_0070779	Stx1b	chr7	-	134950358	134968045
3257	GOODH_00X0345	MECP2	chrX	-	152940458	153016382	GOODM_00X0175	Mecp2	chrX	-	71272161	71330975
3258	GOODH_0170360	GJC1	chr17	-	40231342	40263705	GOODM_0110602	Gjc1	chr11	-	102660893	102665955
3259	GOODH_0170487	ABCA6	chr17	-	64586442	64649610	GOODM_0110654	Abca6	chr11	-	110038136	110113042
3260	GOODH_0120069	STYK1	chr12	-	10662805	10717906	GOODM_0060428	Styk1	chr6	-	131249162	131263845
3261	GOODH_1150167	LOXL1	chr15	+	72005842	72031531	GOODM_0090256	Loxl1	chr9	-	58136408	58160993
3262	GOODH_1170039	ZFP3	chr17	+	4922478	4940392	GOODM_1110317	Zfp3	chr11	+	70577949	70586431
3263	GOODH_1220062	HSCB	chr22	+	27468043	27483488	GOODM_0050292	Hscb	chr5	-	111258089	111268760
3264	GOODH_1140069	KIAA0323	chr14	+	23968981	23980387	GOODM_1140186	9130227C08Rik	chr14	+	56503806	56515618
3265	GOODH_1140237	OTUB2	chr14	+	93562477	93585029	GOODM_1120220	Otub2	chr12	+	104626915	104644553
3266	GOODH_1190287	C19orf40	chr19	+	38155018	38159800	GOODM_0070295	C230052I12Rik	chr7	-	36177171	36181786
3267	GOODH_1200132	C20orf4	chr20	+	34287861	34308267	GOODM_1020685	0610011L14Rik	chr2	+	156373335	156394708
3268	GOODH_1200153	DHX35	chr20	+	37024414	37101777	GOODM_1020705	Dhx35	chr2	+	158620556	158683950
3269	GOODH_0100220	FRAT2	chr10	-	99082245	99084448	GOODM_0190245	Frat2	chr19	-	41920470	41922622
3270	GOODH_0110242	OR5B12	chr11	-	57963258	57964200	GOODM_1190137	Olfr1450	chr19	+	13028081	13029058
3271	GOODH_1180035	C18orf1	chr18	+	13208795	13642753	GOODM_1180194	D18Ertd653e	chr18	+	68092911	68415203
3272	GOODH_1020379	KBTBD10	chr2	+	170074458	170091018	GOODM_1020239	Kbtbd10	chr2	+	69508177	69522296
3273	GOODH_1030034	ATG7	chr3	+	11289102	11571556	GOODM_1060353	Atg7	chr6	+	114593143	114809954
3274	GOODH_0060407	TAAR2	chr6	-	132979982	132987107	GOODM_1100050	Taar4	chr10	+	23680300	23681343
3275	GOODH_0030270	C3orf17	chr3	-	114203984	114221245	GOODM_1160178	BC027231	chr16	+	44724412	44737243
3276	GOODH_1100168	NRG3	chr10	+	83625077	84735340	GOODM_0140092	Nrg3	chr14	-	39183613	40286376
3277	GOODH_1020201	MAT2A	chr2	+	85619799	85625912	GOODM_0060195	Mat2a	chr6	-	72382793	72389552
3278	GOODH_0050089	DKFZp686D0972	chr5	-	56811600	56814393	GOODM_1130313	4732495G21Rik	chr13	+	112045221	112047957
3279	GOODH_0050265	HTR4	chr5	-	147810788	148013934	GOODM_1180174	Htr4	chr18	+	62483858	62627456
3280	GOODH_0010241	PABPC4	chr1	-	39799075	39815003	GOODM_1040340	Pabpc4	chr4	+	122960154	122976076
3281	GOODH_0170098	HES7	chr17	-	7965024	7968127	GOODM_1110278	Hes7	chr11	+	68933955	68936761
3282	GOODH_0090128	TMEM2	chr9	-	73488103	73573228	GOODM_1190170	Tmem2	chr19	+	21852832	21932817
3283	GOODH_00X0186	HDX	chrX	-	83462865	83644114	GOODM_00X0261	Hdx	chrX	-	108688813	108810688
3284	GOODH_0190141	EDG5	chr19	-	10193109	10202948	GOODM_0090052	Edg5	chr9	-	20770396	20781237
3285	GOODH_0220085	MORC2	chr22	-	29652600	29694187	GOODM_1110006	Morc2a	chr11	+	3558703	3590375
3286	GOODH_0170007	ABR	chr17	-	853510	1029881	GOODM_0110355	Abr	chr11	-	76230236	76391229
3287	GOODH_1070118	IKZF1	chr7	+	50314924	50440292	GOODM_1110041	Ikzf1	chr11	+	11586216	11672929
3288	GOODH_1070169	ZP3	chr7	+	75864777	75909324	GOODM_1050445	Zp3	chr5	+	136455975	136464494
3289	GOODH_1010402	SAMD13	chr1	+	84536637	84589067	GOODM_0030424	4930503B20Rik	chr3	-	146309223	146314281
